K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,1,0.1009,3.8,0.2631578947368421,5.36328971392163e-13,5.343853696446964e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.9,0.2564102564102564,5.361336757449697e-13,5.339616831614607e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.0,0.25,5.360971237059916e-13,5.337531039999379e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.1,0.2439024390243902,5.362084925269065e-13,5.337489958764678e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.2,0.238095238095238,5.364409870286752e-13,5.33921347109687e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.3,0.2325581395348837,5.36759523351643e-13,5.342325744669024e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.4,0.2272727272727273,5.371266972842755e-13,5.346416698937906e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.5,0.2222222222222222,5.375070022849985e-13,5.351086385434479e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.6,0.2173913043478261,5.378700739762282e-13,5.355979372204974e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.7,0.2127659574468085,5.381898571124671e-13,5.360780717261251e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.8,0.2083333333333333,5.384483968275037e-13,5.365253379821568e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,4.9,0.2040816326530611,5.386334867698324e-13,5.369218575802207e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.0,0.2,5.387553370345755e-13,5.372660271813333e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.1,0.196078431372549,5.387724822212498e-13,5.375262383081201e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.2,0.1923076923076923,5.387107633740497e-13,5.377144241219164e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.3,0.1886792452830188,5.385754388590455e-13,5.37831700527896e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.4,0.1851851851851851,5.383738236674354e-13,5.378817538136995e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.5,0.1818181818181818,5.381145411421792e-13,5.3787009830172e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.6,0.1785714285714285,5.378068971233507e-13,5.378034375479178e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.7,0.175438596491228,5.374603780052835e-13,5.37689135527614e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.8,0.1724137931034483,5.370842652433512e-13,5.375347947927513e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,5.9,0.1694915254237288,5.366873538108685e-13,5.373479327913251e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,6.0,0.1666666666666666,5.362777595100098e-13,5.371357442946472e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,6.1,0.1639344262295081,5.358627995966859e-13,5.369049367370496e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
