K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1.2000000000000002,1,1,1,1.6,0.625,5.217030974812545e-13,5.302142863331081e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.7000000000000002,0.588235294117647,5.25074091494045e-13,5.335806632800795e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.8000000000000005,0.5555555555555555,5.283047170934062e-13,5.35518677294866e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.9,0.5263157894736842,5.273757939839225e-13,5.329907647717608e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.0,0.5,5.267846401186787e-13,5.311513200363693e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.1,0.4761904761904761,5.287880063867353e-13,5.32546618077062e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.2,0.4545454545454545,5.316458630556797e-13,5.353884767918139e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.3000000000000003,0.4347826086956521,5.330056720482612e-13,5.370749961679255e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.4000000000000004,0.4166666666666666,5.323316927359747e-13,5.367746710135708e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.5000000000000004,0.3999999999999999,5.30704691670151e-13,5.352895694478863e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.6,0.3846153846153846,5.292537196364747e-13,5.33805473318204e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.7,0.3703703703703703,5.287590621381832e-13,5.330445197728474e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.8000000000000003,0.3571428571428571,5.292908475712131e-13,5.331292396498933e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,2.9000000000000004,0.3448275862068965,5.305230275707963e-13,5.337953899724201e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.0000000000000004,0.3333333333333332,5.320206300673326e-13,5.34662485529003e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.1,0.3225806451612903,5.334303903758649e-13,5.354192074352724e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.2,0.3125,5.345574377495789e-13,5.35900839466452e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.3000000000000003,0.303030303030303,5.353584776930912e-13,5.360851218658723e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.4000000000000004,0.2941176470588235,5.35996023869181e-13,5.361655290751533e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
