K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,2.0,1,2.3000000000000003,0.4347826086956521,3.255402540937983e-13,4.3716931923735953e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.4000000000000004,0.4166666666666666,2.818050646906444e-13,4.191083163133061e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.5000000000000004,0.3999999999999999,2.5275251691407965e-13,4.116623546155661e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.6,0.3846153846153846,2.3976920388316666e-13,4.17939651604278e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.7,0.3703703703703703,2.4027059881940333e-13,4.3595266075248796e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.8000000000000003,0.3571428571428571,2.508180371973801e-13,4.620111898389147e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.9000000000000004,0.3448275862068965,2.679162670979982e-13,4.918953505507877e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.0000000000000004,0.3333333333333332,2.881871735117404e-13,5.213646886753744e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.1,0.3225806451612903,3.0855217756163985e-13,5.466431733561049e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.2,0.3125,3.265360735472324e-13,5.64972598177804e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.3000000000000003,0.303030303030303,3.405563436013481e-13,5.750164604315952e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.4000000000000004,0.2941176470588235,3.4998840708251023e-13,5.768318541881918e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.5000000000000004,0.2857142857142857,3.5511395240562605e-13,5.716996327821355e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.6,0.2777777777777778,3.567461309713635e-13,5.614468153702915e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.7,0.2702702702702703,3.558795464966812e-13,5.47935458662384e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.8,0.2631578947368421,3.5347426919673493e-13,5.327825492027398e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,3.9,0.2564102564102564,3.5032856700773343e-13,5.17228394324825e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.0,0.25,3.470411157235916e-13,5.021340046141465e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.1,0.2439024390243902,3.440248391643194e-13,4.880418868027314e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.2,0.238095238095238,3.4154251923481146e-13,4.752553157030017e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.3,0.2325581395348837,3.397456694456844e-13,4.639114291120911e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.4,0.2272727272727273,3.387082704104238e-13,4.5403922568272653e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.5,0.2222222222222222,3.384528754723587e-13,4.4560167393089854e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.6,0.2173913043478261,3.3896951714233817e-13,4.385245717000842e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.7,0.2127659574468085,3.402283875145533e-13,4.327149421024413e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.8,0.2083333333333333,3.421888249489411e-13,4.280732424466671e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,4.9,0.2040816326530611,3.448045441577814e-13,4.244999703263342e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.0,0.2,3.4803937113192583e-13,4.219003491058118e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.1,0.196078431372549,3.518410121587671e-13,4.202093329654568e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.2,0.1923076923076923,3.56150957198121e-13,4.193149832247152e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.3,0.1886792452830188,3.60923442889001e-13,4.191415542368867e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.4,0.1851851851851851,3.661144879067143e-13,4.196195948077116e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.5,0.1818181818181818,3.716819369483189e-13,4.2068544135294084e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.6,0.1785714285714285,3.7758540270610934e-13,4.2228064261036323e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.7,0.175438596491228,3.837862208776137e-13,4.243514681071422e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.8,0.1724137931034483,3.902470983333741e-13,4.268480295507925e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,5.9,0.1694915254237288,3.9693236858546084e-13,4.297243124803087e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,6.0,0.1666666666666666,4.038076614635349e-13,4.3293741180657364e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,6.1,0.1639344262295081,4.10839903061896e-13,4.364472635865969e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,6.2,0.1612903225806451,4.179972786669984e-13,4.402163503924132e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,6.3,0.1587301587301587,4.2524921882696726e-13,4.4420946153168253e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,6.4,0.15625,4.3256640563649123e-13,4.483935015301811e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
