K_E,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1.09111,8.5,0.1176470588235294,5.287356697724309e-13,5.297671188354239e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.6,0.1162790697674418,5.289387985043001e-13,5.299063623899175e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.7,0.1149425287356321,5.2914219847049e-13,5.300461075215367e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.8,0.1136363636363636,5.293473703337124e-13,5.301878566193199e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.9,0.1123595505617977,5.295505272800797e-13,5.303281080765052e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.0,0.1111111111111111,5.297531331494937e-13,5.304683119180609e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.1,0.1098901098901099,5.299549254827003e-13,5.306082820957513e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.2,0.108695652173913,5.30155651948965e-13,5.307478357052963e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.3,0.1075268817204301,5.30355072122496e-13,5.308867949989039e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.4,0.1063829787234042,5.305529587494197e-13,5.310249889584446e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.5,0.1052631578947368,5.307490986931102e-13,5.311622545135623e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.6,0.1041666666666666,5.309432934454609e-13,5.312984374229624e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.7,0.1030927835051546,5.311353594754684e-13,5.314333929207942e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.8,0.1020408163265305,5.313251283109164e-13,5.31566986131669e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,9.9,0.101010101010101,5.315124463796235e-13,5.316990922686775e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,10.0,0.1,5.316505388879923e-13,5.317583059694428e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
0.642842,0.1,10.0,5.331383330173682e-13,5.33140168595026e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,0.2,5.0,5.338636463387862e-13,5.330288657394851e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,0.3,3.3333333333333326,5.390232494319824e-13,5.317198292612758e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,0.4,2.5,5.26026349122682e-13,5.145954503141049e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,0.5,2.0,4.819067051825282e-13,4.839290738722897e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,0.6,1.6666666666666667,4.475922321998293e-13,4.670441360186227e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,0.7000000000000001,1.4285714285714284,4.09312481531397e-13,4.551168297068873e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,0.8,1.25,3.883058838403473e-13,4.486730713000981e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,0.9,1.1111111111111112,3.998116051488349e-13,4.75148030765722e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.0,1.0,3.8215852873709883e-13,4.566120068327467e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.1,0.909090909090909,3.9231544782861493e-13,4.794791163351285e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.2000000000000002,0.8333333333333331,3.890392550298415e-13,4.866668565148274e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.3000000000000005,0.769230769230769,4.192518620088805e-13,5.29638426817046e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.4,0.7142857142857142,3.882556562007668e-13,4.870739976521941e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
