K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,2.0,1,1,0.1,10.0,5.331455411037032e-13,5.331557776293622e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,0.2,5.0,5.334540678256569e-13,5.331334145128812e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,0.3,3.3333333333333326,5.366322787125039e-13,5.363190693841632e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,0.4,2.5,5.334093058934723e-13,5.334880030026166e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,0.5,2.0,5.326647147493607e-13,5.342501017251962e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,0.6,1.6666666666666667,5.340605649461219e-13,5.398869434679087e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,0.7000000000000001,1.4285714285714284,5.306735647693632e-13,5.44621856275017e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,0.8,1.25,5.377214568875279e-13,5.473998297768525e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,0.9,1.1111111111111112,5.542394212161883e-13,5.51607749723065e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.0,1.0,5.803315339666775e-13,5.559575887182186e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.1,0.909090909090909,6.075948665381385e-13,5.701968047697207e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.2000000000000002,0.8333333333333331,6.207938456850432e-13,5.678975697944877e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.3000000000000005,0.769230769230769,6.439624759480654e-13,5.702437353345595e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.4,0.7142857142857142,6.782368090077355e-13,5.859450603954594e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.5000000000000002,0.6666666666666665,6.973640918313548e-13,5.920516508414755e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.6,0.625,7.034308548017338e-13,5.871230897366029e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.7000000000000002,0.588235294117647,7.098553540212088e-13,5.830272357813411e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.8000000000000005,0.5555555555555555,7.086804706141239e-13,5.771822563045307e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,1.9,0.5263157894736842,6.991234052427433e-13,5.72359992987929e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.0,0.5,6.803900520179669e-13,5.684108382938839e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.1,0.4761904761904761,6.484598683459379e-13,5.592420359603783e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.2,0.4545454545454545,6.075932778131755e-13,5.436882401022656e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.3000000000000003,0.4347826086956521,5.688831411007949e-13,5.276350000989205e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.4000000000000004,0.4166666666666666,5.407776055024675e-13,5.174162579712726e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.5000000000000004,0.3999999999999999,5.257166974380071e-13,5.156954611059644e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.6,0.3846153846153846,5.211660814613053e-13,5.212267855187055e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.7,0.3703703703703703,5.23269715435875e-13,5.310360315137118e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.8000000000000003,0.3571428571428571,5.275877185776474e-13,5.413168295497147e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,2.9000000000000004,0.3448275862068965,5.303480372961759e-13,5.486476738347746e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,3.0000000000000004,0.3333333333333332,5.291992009760335e-13,5.508745199357221e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,3.1,0.3225806451612903,5.23460709175029e-13,5.474708292948655e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,3.2,0.3125,5.137997649232976e-13,5.392677554130823e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,3.3000000000000003,0.303030303030303,5.015845726085029e-13,5.278118584597593e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,3.4000000000000004,0.2941176470588235,4.881976710575963e-13,5.146693949316163e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,3.5000000000000004,0.2857142857142857,4.749965592082261e-13,5.013300697299273e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,2.0,1,1,3.6,0.2777777777777778,4.627318263371917e-13,4.886729322087878e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
